dataset_id,schema_version,first_date,last_date,date_count,column_count,exact_header_sha256,header_json
gn,gn_raw_v1,20251120,20251204,10,18,77efe497f430f5388108ad0288fd4afce50aa7e6ea11fbfdbeceb386c2583204,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""3日换手%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
gn,gn_raw_v2,20251205,20251231,19,22,d4fd128d486e2826b829741da97ceef556dee4143b9f0bd3c1199320499f2896,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""量比"", ""3日换手%"", ""5日涨幅%"", ""10日涨幅%"", ""20日涨幅%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
hq,hq_raw_v1,20251120,20251231,29,43,edff8f4e1db6aa158770d2b412e0f5f591c470b19a8e6b2ffb53b1032a161549,"[""序"", ""代码"", ""名称"", ""最新"", ""涨幅%"", ""涨跌"", ""总量"", ""现量"", ""买入价"", ""卖出价"", ""涨速%"", ""换手%"", ""金额"", ""市盈率(动)"", ""所属行业"", ""最高"", ""最低"", ""开盘"", ""昨收"", ""振幅%"", ""量比"", ""委比%"", ""委差"", ""均价"", ""内盘"", ""外盘"", ""内外比"", ""买一量"", ""卖一量"", ""市净率"", ""总股本"", ""总市值"", ""流通股本"", ""流通市值"", ""3日涨幅%"", ""6日涨幅%"", ""3日换手%"", ""6日换手%"", ""连涨天数"", ""本月涨幅%"", ""今年涨幅%"", ""近一月涨幅%"", ""近一年涨幅%""]"
hy,hy_raw_v1,20251120,20251204,10,18,77efe497f430f5388108ad0288fd4afce50aa7e6ea11fbfdbeceb386c2583204,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""3日换手%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
hy,hy_raw_v2,20251205,20251231,19,22,d4fd128d486e2826b829741da97ceef556dee4143b9f0bd3c1199320499f2896,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""量比"", ""3日换手%"", ""5日涨幅%"", ""10日涨幅%"", ""20日涨幅%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
kpgn,kpgn_raw_v1,20251120,20251204,8,18,77efe497f430f5388108ad0288fd4afce50aa7e6ea11fbfdbeceb386c2583204,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""3日换手%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
kpgn,kpgn_raw_v2,20251125,20251231,15,22,d4fd128d486e2826b829741da97ceef556dee4143b9f0bd3c1199320499f2896,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""量比"", ""3日换手%"", ""5日涨幅%"", ""10日涨幅%"", ""20日涨幅%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
kphq,kphq_raw_v1,20251120,20251231,21,43,edff8f4e1db6aa158770d2b412e0f5f591c470b19a8e6b2ffb53b1032a161549,"[""序"", ""代码"", ""名称"", ""最新"", ""涨幅%"", ""涨跌"", ""总量"", ""现量"", ""买入价"", ""卖出价"", ""涨速%"", ""换手%"", ""金额"", ""市盈率(动)"", ""所属行业"", ""最高"", ""最低"", ""开盘"", ""昨收"", ""振幅%"", ""量比"", ""委比%"", ""委差"", ""均价"", ""内盘"", ""外盘"", ""内外比"", ""买一量"", ""卖一量"", ""市净率"", ""总股本"", ""总市值"", ""流通股本"", ""流通市值"", ""3日涨幅%"", ""6日涨幅%"", ""3日换手%"", ""6日换手%"", ""连涨天数"", ""本月涨幅%"", ""今年涨幅%"", ""近一月涨幅%"", ""近一年涨幅%""]"
kphq,kphq_raw_v2,20251125,20251125,1,49,1548a9b4066fc5462a4ddf73c3104f6122d227defcd5dbc2cb9408c5217455d2,"[""序"", ""代码"", ""名称"", ""最新"", ""涨幅%"", ""涨跌"", ""总量"", ""现量"", ""买入价"", ""卖出价"", ""涨速%"", ""换手%"", ""金额"", ""市盈率(动)"", ""所属行业"", ""上市日"", ""今年涨幅%"", ""20日涨幅%"", ""近一年涨幅%"", ""连涨天数"", ""5分钟涨速%"", ""最高"", ""最低"", ""开盘"", ""昨收"", ""振幅%"", ""量比"", ""委比%"", ""委差"", ""均价"", ""内盘"", ""外盘"", ""内外比"", ""买一量"", ""卖一量"", ""市净率"", ""总股本"", ""总市值"", ""流通股本"", ""流通市值"", ""3日涨幅%"", ""6日涨幅%"", ""3日换手%"", ""6日换手%"", ""连涨天数1"", ""本月涨幅%"", ""今年涨幅%1"", ""近一月涨幅%"", ""近一年涨幅%1""]"
kphq,kphq_raw_v3,20251223,20251223,1,43,e2f912e8ff9f464fb2598729dfa54f2fdd2c5f820a77347f2adb6d50f62c9593,"[""序"", ""代码"", ""名称"", ""最新"", ""涨幅%"", ""涨跌"", ""总手"", ""现手"", ""买入价"", ""卖出价"", ""涨速%"", ""换手%"", ""金额"", ""市盈率(动)"", ""所属行业"", ""最高"", ""最低"", ""开盘"", ""昨收"", ""振幅%"", ""量比"", ""委比%"", ""委差"", ""均价"", ""内盘"", ""外盘"", ""内外比"", ""买一量"", ""卖一量"", ""市净率"", ""总股本"", ""总市值"", ""流通股本"", ""流通市值"", ""3日涨幅%"", ""6日涨幅%"", ""3日换手%"", ""6日换手%"", ""连涨天数"", ""本月涨幅%"", ""今年涨幅%"", ""近一月涨幅%"", ""近一年涨幅%""]"
kphy,kphy_raw_v1,20251120,20251204,8,18,77efe497f430f5388108ad0288fd4afce50aa7e6ea11fbfdbeceb386c2583204,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""3日换手%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
kphy,kphy_raw_v2,20251125,20251231,15,22,d4fd128d486e2826b829741da97ceef556dee4143b9f0bd3c1199320499f2896,"[""序"", ""名称"", ""涨幅%"", ""3日涨幅%"", ""涨速%"", ""领涨股"", ""涨跌家数"", ""涨跌比"", ""涨停家数"", ""换手%"", ""量比"", ""3日换手%"", ""5日涨幅%"", ""10日涨幅%"", ""20日涨幅%"", ""成交量"", ""金额"", ""总市值"", ""流通市值"", ""平均收益"", ""平均股本"", ""市盈率""]"
zj,zj_raw_v1,20251120,20251231,29,23,2e549da76198a579244d1bc40bda132382ece4111d1ac76edfa5425107c439f4,"[""序"", ""代码"", ""名称"", ""最新"", ""涨幅%"", ""主力净流入"", ""集合竞价"", ""超大单流入"", ""超大单流出"", ""超大单净额"", ""超大单净占比%"", ""大单流入"", ""大单流出"", ""大单净额"", ""大单净占比%"", ""中单流入"", ""中单流出"", ""中单净额"", ""中单净占比%"", ""小单流入"", ""小单流出"", ""小单净额"", ""小单净占比%""]"
